datetime,Predicted_AQI,AQI_Category,Live_AQI_used,temp,dew,humidity,precip,windspeed,winddir,visibility,so2,no2,o3,co,hour,day_of_week,is_weekend,dow_sin,dow_cos,aqi_lag1
2025-09-17 06:00:00+05:00,64.9438247680664,Moderate 😐,65.0,27.0,23.5,81.19,0.0,16.9,251.8,24.1,,,,,6,2,0,0.9749279121818236,-0.2225209339563143,65.0
2025-09-17 07:00:00+05:00,67.20326232910156,Moderate 😐,65.0,27.0,23.6,81.68,0.0,16.6,252.3,24.1,,,,,7,2,0,0.9749279121818236,-0.2225209339563143,64.9438247680664
2025-09-17 08:00:00+05:00,68.08826446533203,Moderate 😐,65.0,27.1,23.6,81.2,0.0,15.8,255.0,24.1,,,,,8,2,0,0.9749279121818236,-0.2225209339563143,67.20326232910156
2025-09-17 09:00:00+05:00,68.70068359375,Moderate 😐,65.0,27.3,23.6,80.26,0.0,15.8,254.7,24.1,,,,,9,2,0,0.9749279121818236,-0.2225209339563143,68.08826446533203
2025-09-17 10:00:00+05:00,68.83668518066406,Moderate 😐,65.0,27.4,23.7,80.27,0.1,16.2,254.4,24.1,,,,,10,2,0,0.9749279121818236,-0.2225209339563143,68.70068359375
2025-09-17 11:00:00+05:00,68.74354553222656,Moderate 😐,65.0,27.4,23.7,80.27,0.0,16.2,251.3,24.1,,,,,11,2,0,0.9749279121818236,-0.2225209339563143,68.83668518066406
2025-09-17 12:00:00+05:00,69.18199157714844,Moderate 😐,65.0,27.6,23.8,79.81,0.0,16.2,243.0,24.1,,,,,12,2,0,0.9749279121818236,-0.2225209339563143,68.74354553222656
2025-09-17 13:00:00+05:00,69.05802154541016,Moderate 😐,65.0,27.7,23.9,79.83,0.0,16.6,240.9,24.1,,,,,13,2,0,0.9749279121818236,-0.2225209339563143,69.18199157714844
2025-09-17 14:00:00+05:00,70.47078704833984,Moderate 😐,65.0,27.8,23.8,78.89,0.0,16.9,243.1,24.1,,,,,14,2,0,0.9749279121818236,-0.2225209339563143,69.05802154541016
2025-09-17 15:00:00+05:00,72.38488006591797,Moderate 😐,65.0,27.9,23.9,78.9,0.0,16.9,243.3,24.1,,,,,15,2,0,0.9749279121818236,-0.2225209339563143,70.47078704833984
2025-09-17 16:00:00+05:00,72.53287506103516,Moderate 😐,65.0,28.0,24.1,79.39,0.0,16.6,242.3,24.1,,,,,16,2,0,0.9749279121818236,-0.2225209339563143,72.38488006591797
2025-09-17 17:00:00+05:00,73.50664520263672,Moderate 😐,65.0,27.9,24.1,79.85,0.0,15.1,234.2,24.1,,,,,17,2,0,0.9749279121818236,-0.2225209339563143,72.53287506103516
2025-09-17 18:00:00+05:00,74.15708923339844,Moderate 😐,65.0,27.9,24.3,80.82,0.0,14.4,220.8,24.1,,,,,18,2,0,0.9749279121818236,-0.2225209339563143,73.50664520263672
2025-09-17 19:00:00+05:00,76.11095428466797,Moderate 😐,65.0,27.7,24.3,81.77,0.0,16.6,210.9,24.1,,,,,19,2,0,0.9749279121818236,-0.2225209339563143,74.15708923339844
2025-09-17 20:00:00+05:00,75.4372787475586,Moderate 😐,65.0,27.4,24.5,84.22,0.0,17.3,232.4,24.1,,,,,20,2,0,0.9749279121818236,-0.2225209339563143,76.11095428466797
2025-09-17 21:00:00+05:00,76.85877990722656,Moderate 😐,65.0,27.3,24.6,85.22,0.0,18.7,245.6,24.1,,,,,21,2,0,0.9749279121818236,-0.2225209339563143,75.4372787475586
2025-09-17 22:00:00+05:00,74.69979858398438,Moderate 😐,65.0,27.3,24.4,84.21,0.0,19.4,245.5,24.1,,,,,22,2,0,0.9749279121818236,-0.2225209339563143,76.85877990722656
2025-09-17 23:00:00+05:00,72.61304473876953,Moderate 😐,65.0,27.2,24.3,84.2,0.0,17.3,250.4,24.1,,,,,23,2,0,0.9749279121818236,-0.2225209339563143,74.69979858398438
2025-09-18 00:00:00+05:00,70.29676055908203,Moderate 😐,65.0,27.4,24.1,82.22,0.0,15.1,249.3,24.1,,,,,0,3,0,0.4338837391175582,-0.900968867902419,72.61304473876953
2025-09-18 01:00:00+05:00,70.17222595214844,Moderate 😐,65.0,27.5,23.9,80.77,0.0,14.4,246.3,24.1,,,,,1,3,0,0.4338837391175582,-0.900968867902419,70.29676055908203
2025-09-18 02:00:00+05:00,68.91968536376953,Moderate 😐,65.0,27.3,23.8,81.23,0.0,15.8,251.2,24.1,,,,,2,3,0,0.4338837391175582,-0.900968867902419,70.17222595214844
2025-09-18 03:00:00+05:00,68.16490936279297,Moderate 😐,65.0,27.2,23.9,82.2,0.0,16.6,257.5,24.1,,,,,3,3,0,0.4338837391175582,-0.900968867902419,68.91968536376953
2025-09-18 04:00:00+05:00,68.20264434814453,Moderate 😐,65.0,27.0,23.9,83.17,0.0,16.6,267.6,24.1,,,,,4,3,0,0.4338837391175582,-0.900968867902419,68.16490936279297
2025-09-18 05:00:00+05:00,68.35639190673828,Moderate 😐,65.0,26.8,24.0,84.66,0.1,17.3,271.5,24.1,,,,,5,3,0,0.4338837391175582,-0.900968867902419,68.20264434814453
2025-09-18 06:00:00+05:00,68.6098861694336,Moderate 😐,65.0,26.8,24.0,84.66,0.0,16.9,270.6,24.1,,,,,6,3,0,0.4338837391175582,-0.900968867902419,68.35639190673828
2025-09-18 07:00:00+05:00,70.0460205078125,Moderate 😐,65.0,27.0,24.0,83.67,0.0,15.1,267.7,24.1,,,,,7,3,0,0.4338837391175582,-0.900968867902419,68.6098861694336
2025-09-18 08:00:00+05:00,71.84569549560547,Moderate 😐,65.0,27.2,23.9,82.2,0.0,14.4,267.7,24.1,,,,,8,3,0,0.4338837391175582,-0.900968867902419,70.0460205078125
2025-09-18 09:00:00+05:00,71.45936584472656,Moderate 😐,65.0,27.4,23.8,80.75,0.0,14.8,258.8,24.1,,,,,9,3,0,0.4338837391175582,-0.900968867902419,71.84569549560547
2025-09-18 10:00:00+05:00,71.85629272460938,Moderate 😐,65.0,27.5,23.8,80.28,0.0,17.3,250.9,24.1,,,,,10,3,0,0.4338837391175582,-0.900968867902419,71.45936584472656
2025-09-18 11:00:00+05:00,71.85638427734375,Moderate 😐,65.0,27.6,23.7,79.33,0.0,19.4,250.0,24.1,,,,,11,3,0,0.4338837391175582,-0.900968867902419,71.85629272460938
2025-09-18 12:00:00+05:00,72.8452377319336,Moderate 😐,65.0,27.7,23.6,78.4,0.0,20.9,250.8,24.1,,,,,12,3,0,0.4338837391175582,-0.900968867902419,71.85638427734375
2025-09-18 13:00:00+05:00,72.87249755859375,Moderate 😐,65.0,27.6,23.5,78.38,0.0,20.5,249.0,24.1,,,,,13,3,0,0.4338837391175582,-0.900968867902419,72.8452377319336
2025-09-18 14:00:00+05:00,72.95970916748047,Moderate 😐,65.0,27.7,23.4,77.46,0.0,19.1,247.4,24.1,,,,,14,3,0,0.4338837391175582,-0.900968867902419,72.87249755859375
2025-09-18 15:00:00+05:00,73.21710968017578,Moderate 😐,65.0,27.7,23.4,77.46,0.0,18.7,250.2,24.1,,,,,15,3,0,0.4338837391175582,-0.900968867902419,72.95970916748047
2025-09-18 16:00:00+05:00,72.8248291015625,Moderate 😐,65.0,27.5,23.5,78.84,0.0,17.6,250.8,24.1,,,,,16,3,0,0.4338837391175582,-0.900968867902419,73.21710968017578
2025-09-18 17:00:00+05:00,73.43524932861328,Moderate 😐,65.0,27.5,23.5,78.84,0.0,16.6,248.5,24.1,,,,,17,3,0,0.4338837391175582,-0.900968867902419,72.8248291015625
2025-09-18 18:00:00+05:00,73.0663070678711,Moderate 😐,65.0,27.5,23.5,78.84,0.0,15.5,239.5,24.1,,,,,18,3,0,0.4338837391175582,-0.900968867902419,73.43524932861328
2025-09-18 19:00:00+05:00,73.26969146728516,Moderate 😐,65.0,27.3,23.7,80.74,0.0,15.8,228.0,24.1,,,,,19,3,0,0.4338837391175582,-0.900968867902419,73.0663070678711
2025-09-18 20:00:00+05:00,74.0964126586914,Moderate 😐,65.0,27.4,23.6,79.79,0.0,18.0,213.8,24.1,,,,,20,3,0,0.4338837391175582,-0.900968867902419,73.26969146728516
2025-09-18 21:00:00+05:00,80.24282836914062,Moderate 😐,65.0,27.4,23.5,79.31,0.0,19.1,218.9,24.1,,,,,21,3,0,0.4338837391175582,-0.900968867902419,74.0964126586914
2025-09-18 22:00:00+05:00,79.39108276367188,Moderate 😐,65.0,27.3,23.6,80.26,0.0,18.7,237.7,24.1,,,,,22,3,0,0.4338837391175582,-0.900968867902419,80.24282836914062
2025-09-18 23:00:00+05:00,77.95101165771484,Moderate 😐,65.0,27.2,23.6,80.73,0.0,19.4,253.1,24.1,,,,,23,3,0,0.4338837391175582,-0.900968867902419,79.39108276367188
2025-09-19 00:00:00+05:00,74.28651428222656,Moderate 😐,65.0,27.0,23.5,81.19,0.0,19.8,259.6,24.1,,,,,0,4,0,-0.433883739117558,-0.9009688679024191,77.95101165771484
2025-09-19 01:00:00+05:00,70.56033325195312,Moderate 😐,65.0,26.8,23.4,81.66,0.1,18.7,259.6,24.1,,,,,1,4,0,-0.433883739117558,-0.9009688679024191,74.28651428222656
2025-09-19 02:00:00+05:00,69.20486450195312,Moderate 😐,65.0,26.8,23.2,80.68,0.1,18.7,260.1,24.1,,,,,2,4,0,-0.433883739117558,-0.9009688679024191,70.56033325195312
2025-09-19 03:00:00+05:00,67.73065948486328,Moderate 😐,65.0,26.7,23.1,80.66,0.0,21.2,263.7,24.1,,,,,3,4,0,-0.433883739117558,-0.9009688679024191,69.20486450195312
2025-09-19 04:00:00+05:00,67.82760620117188,Moderate 😐,65.0,26.4,23.2,82.6,0.0,20.2,264.2,24.1,,,,,4,4,0,-0.433883739117558,-0.9009688679024191,67.73065948486328
2025-09-19 05:00:00+05:00,68.19005584716797,Moderate 😐,65.0,26.4,23.3,83.1,0.1,18.4,258.9,24.1,,,,,5,4,0,-0.433883739117558,-0.9009688679024191,67.82760620117188
2025-09-19 06:00:00+05:00,68.2839584350586,Moderate 😐,65.0,26.6,23.5,83.12,0.0,16.6,255.9,24.1,,,,,6,4,0,-0.433883739117558,-0.9009688679024191,68.19005584716797
2025-09-19 07:00:00+05:00,68.99840545654297,Moderate 😐,65.0,26.8,23.5,82.15,0.0,15.5,245.2,24.1,,,,,7,4,0,-0.433883739117558,-0.9009688679024191,68.2839584350586
2025-09-19 08:00:00+05:00,68.97696685791016,Moderate 😐,65.0,27.1,23.5,80.71,0.0,16.9,245.7,24.1,,,,,8,4,0,-0.433883739117558,-0.9009688679024191,68.99840545654297
2025-09-19 09:00:00+05:00,68.71812438964844,Moderate 😐,65.0,27.3,23.5,79.77,0.0,18.7,244.7,24.1,,,,,9,4,0,-0.433883739117558,-0.9009688679024191,68.97696685791016
2025-09-19 10:00:00+05:00,68.28766632080078,Moderate 😐,65.0,27.3,23.4,79.29,0.0,20.2,244.1,24.1,,,,,10,4,0,-0.433883739117558,-0.9009688679024191,68.71812438964844
2025-09-19 11:00:00+05:00,68.42604064941406,Moderate 😐,65.0,27.2,23.4,79.76,0.0,20.5,246.8,24.1,,,,,11,4,0,-0.433883739117558,-0.9009688679024191,68.28766632080078
2025-09-19 12:00:00+05:00,68.33380889892578,Moderate 😐,65.0,27.3,23.4,79.29,0.0,20.5,247.2,24.1,,,,,12,4,0,-0.433883739117558,-0.9009688679024191,68.42604064941406
2025-09-19 13:00:00+05:00,70.08503723144531,Moderate 😐,65.0,27.5,23.4,78.37,0.1,20.9,243.5,24.1,,,,,13,4,0,-0.433883739117558,-0.9009688679024191,68.33380889892578
2025-09-19 14:00:00+05:00,72.22857666015625,Moderate 😐,65.0,27.5,23.4,78.37,0.0,20.9,243.4,24.1,,,,,14,4,0,-0.433883739117558,-0.9009688679024191,70.08503723144531
2025-09-19 15:00:00+05:00,72.64362335205078,Moderate 😐,65.0,27.5,23.5,78.84,0.0,20.9,242.7,24.1,,,,,15,4,0,-0.433883739117558,-0.9009688679024191,72.22857666015625
2025-09-19 16:00:00+05:00,71.09235382080078,Moderate 😐,65.0,27.4,23.5,79.31,0.0,20.9,246.9,24.1,,,,,16,4,0,-0.433883739117558,-0.9009688679024191,72.64362335205078
2025-09-19 17:00:00+05:00,73.39373779296875,Moderate 😐,65.0,27.5,23.1,76.96,0.0,19.1,246.6,24.1,,,,,17,4,0,-0.433883739117558,-0.9009688679024191,71.09235382080078
2025-09-19 18:00:00+05:00,73.78923034667969,Moderate 😐,65.0,27.6,23.0,76.05,0.0,17.3,247.5,24.1,,,,,18,4,0,-0.433883739117558,-0.9009688679024191,73.39373779296875
2025-09-19 19:00:00+05:00,74.8640365600586,Moderate 😐,65.0,27.6,22.8,75.13,0.0,17.6,232.6,24.1,,,,,19,4,0,-0.433883739117558,-0.9009688679024191,73.78923034667969
