datetime,Predicted_AQI,AQI_Category,Live_AQI_used,temp,dew,humidity,precip,windspeed,winddir,visibility,so2,no2,o3,co,hour,day_of_week,is_weekend,dow_sin,dow_cos,aqi_lag1
2025-08-11 07:00:00+05:00,68.65139770507812,Moderate 😐,69.0,27.1,23.9,82.68,0.1,29.9,258.4,24.1,,,,,7,0,0,0.0,1.0,69.0
2025-08-11 08:00:00+05:00,68.42584228515625,Moderate 😐,69.0,27.2,24.1,83.19,0.0,30.2,255.2,24.1,,,,,8,0,0,0.0,1.0,68.65139770507812
2025-08-11 09:00:00+05:00,68.03666687011719,Moderate 😐,69.0,27.3,24.1,82.71,0.0,29.5,252.7,24.1,,,,,9,0,0,0.0,1.0,68.42584228515625
2025-08-11 10:00:00+05:00,68.7470703125,Moderate 😐,69.0,27.6,24.2,81.75,0.0,30.2,252.2,24.1,,,,,10,0,0,0.0,1.0,68.03666687011719
2025-08-11 11:00:00+05:00,68.6895523071289,Moderate 😐,69.0,27.8,24.2,80.8,0.1,30.2,250.1,24.1,,,,,11,0,0,0.0,1.0,68.7470703125
2025-08-11 12:00:00+05:00,69.15510559082031,Moderate 😐,69.0,28.0,24.2,79.87,0.0,29.9,252.5,24.1,,,,,12,0,0,0.0,1.0,68.6895523071289
2025-08-11 13:00:00+05:00,68.51679992675781,Moderate 😐,69.0,27.9,24.1,79.85,0.0,32.4,250.6,24.1,,,,,13,0,0,0.0,1.0,69.15510559082031
2025-08-11 14:00:00+05:00,68.41354370117188,Moderate 😐,69.0,27.9,24.1,79.85,0.0,31.3,245.7,24.1,,,,,14,0,0,0.0,1.0,68.51679992675781
2025-08-11 15:00:00+05:00,68.41354370117188,Moderate 😐,69.0,27.8,24.1,80.32,0.0,32.0,244.6,24.1,,,,,15,0,0,0.0,1.0,68.41354370117188
2025-08-11 16:00:00+05:00,68.45635223388672,Moderate 😐,69.0,27.8,24.1,80.32,0.0,33.1,245.0,24.1,,,,,16,0,0,0.0,1.0,68.41354370117188
2025-08-11 17:00:00+05:00,68.87688446044922,Moderate 😐,69.0,27.7,24.2,81.28,0.0,32.4,238.8,24.1,,,,,17,0,0,0.0,1.0,68.45635223388672
