datetime,Predicted_AQI,AQI_Category,Live_AQI_used,temp,dew,humidity,precip,windspeed,winddir,visibility,so2,no2,o3,co,hour,day_of_week,is_weekend,dow_sin,dow_cos,aqi_lag1
2025-08-11 03:00:00+05:00,80.7311782836914,Moderate 😐,83.0,26.8,23.9,84.15,0.1,31.0,258.1,24.1,,,,,3,0,0,0.0,1.0,83.0
2025-08-11 04:00:00+05:00,77.53462982177734,Moderate 😐,83.0,26.7,24.0,85.16,0.1,31.0,259.2,24.1,,,,,4,0,0,0.0,1.0,80.7311782836914
2025-08-11 05:00:00+05:00,73.56262969970703,Moderate 😐,83.0,26.7,24.0,85.16,0.1,29.9,260.5,24.1,,,,,5,0,0,0.0,1.0,77.53462982177734
2025-08-11 06:00:00+05:00,69.565673828125,Moderate 😐,83.0,26.8,24.0,84.66,0.1,29.9,259.5,24.1,,,,,6,0,0,0.0,1.0,73.56262969970703
2025-08-11 07:00:00+05:00,68.24031829833984,Moderate 😐,83.0,27.1,23.9,82.68,0.1,31.0,257.2,24.1,,,,,7,0,0,0.0,1.0,69.565673828125
2025-08-11 08:00:00+05:00,68.58274841308594,Moderate 😐,83.0,27.3,24.1,82.71,0.0,31.3,255.4,24.1,,,,,8,0,0,0.0,1.0,68.24031829833984
2025-08-11 09:00:00+05:00,68.00772094726562,Moderate 😐,83.0,27.4,24.2,82.72,0.0,29.9,251.9,24.1,,,,,9,0,0,0.0,1.0,68.58274841308594
2025-08-11 10:00:00+05:00,68.6001968383789,Moderate 😐,83.0,27.6,24.2,81.75,0.0,31.0,253.9,24.1,,,,,10,0,0,0.0,1.0,68.00772094726562
2025-08-11 11:00:00+05:00,68.79617309570312,Moderate 😐,83.0,27.9,24.1,79.85,0.0,31.3,253.0,24.1,,,,,11,0,0,0.0,1.0,68.6001968383789
2025-08-11 12:00:00+05:00,68.5360107421875,Moderate 😐,83.0,28.0,24.1,79.39,0.1,31.3,255.0,24.1,,,,,12,0,0,0.0,1.0,68.79617309570312
2025-08-11 13:00:00+05:00,69.03833770751953,Moderate 😐,83.0,28.1,24.1,78.93,0.0,31.7,251.4,24.1,,,,,13,0,0,0.0,1.0,68.5360107421875
2025-08-11 14:00:00+05:00,69.1297607421875,Moderate 😐,83.0,28.1,24.1,78.93,0.0,31.3,248.2,24.1,,,,,14,0,0,0.0,1.0,69.03833770751953
2025-08-11 15:00:00+05:00,68.65396881103516,Moderate 😐,83.0,28.0,24.3,80.35,0.0,32.4,244.7,24.1,,,,,15,0,0,0.0,1.0,69.1297607421875
2025-08-11 16:00:00+05:00,68.56804656982422,Moderate 😐,83.0,27.9,24.2,80.33,0.0,32.8,241.2,24.1,,,,,16,0,0,0.0,1.0,68.65396881103516
2025-08-11 17:00:00+05:00,68.81301879882812,Moderate 😐,83.0,27.7,24.3,81.77,0.0,32.8,239.9,24.1,,,,,17,0,0,0.0,1.0,68.56804656982422
2025-08-11 18:00:00+05:00,68.13792419433594,Moderate 😐,83.0,27.4,24.4,83.72,0.0,33.5,240.6,24.1,,,,,18,0,0,0.0,1.0,68.81301879882812
2025-08-11 19:00:00+05:00,67.95297241210938,Moderate 😐,83.0,27.2,24.2,83.69,0.0,30.6,238.5,24.1,,,,,19,0,0,0.0,1.0,68.13792419433594
2025-08-11 20:00:00+05:00,67.9487533569336,Moderate 😐,83.0,27.3,24.3,83.7,0.0,30.2,243.0,24.1,,,,,20,0,0,0.0,1.0,67.95297241210938
2025-08-11 21:00:00+05:00,71.38078308105469,Moderate 😐,83.0,27.2,24.1,83.19,0.0,32.4,254.3,24.1,,,,,21,0,0,0.0,1.0,67.9487533569336
2025-08-11 22:00:00+05:00,69.76124572753906,Moderate 😐,83.0,27.1,23.9,82.68,0.1,33.1,249.3,24.1,,,,,22,0,0,0.0,1.0,71.38078308105469
2025-08-11 23:00:00+05:00,70.15348052978516,Moderate 😐,83.0,27.0,23.9,83.17,0.0,32.8,251.2,24.1,,,,,23,0,0,0.0,1.0,69.76124572753906
2025-08-12 00:00:00+05:00,67.74693298339844,Moderate 😐,83.0,26.9,23.8,83.16,0.1,33.1,253.5,24.1,,,,,0,1,0,0.7818314824680298,0.6234898018587336,70.15348052978516
2025-08-12 01:00:00+05:00,66.03828430175781,Moderate 😐,83.0,26.9,23.5,81.67,0.0,35.6,256.2,24.1,,,,,1,1,0,0.7818314824680298,0.6234898018587336,67.74693298339844
2025-08-12 02:00:00+05:00,65.01719665527344,Moderate 😐,83.0,26.7,23.6,83.14,0.1,34.2,255.4,24.1,,,,,2,1,0,0.7818314824680298,0.6234898018587336,66.03828430175781
2025-08-12 03:00:00+05:00,63.95867919921875,Moderate 😐,83.0,26.7,23.8,84.14,0.1,34.2,253.0,24.1,,,,,3,1,0,0.7818314824680298,0.6234898018587336,65.01719665527344
2025-08-12 04:00:00+05:00,64.25989532470703,Moderate 😐,83.0,26.7,23.8,84.14,0.0,33.8,251.2,24.1,,,,,4,1,0,0.7818314824680298,0.6234898018587336,63.95867919921875
2025-08-12 05:00:00+05:00,64.17262268066406,Moderate 😐,83.0,26.7,24.0,85.16,0.1,34.2,251.7,24.1,,,,,5,1,0,0.7818314824680298,0.6234898018587336,64.25989532470703
2025-08-12 06:00:00+05:00,64.6539535522461,Moderate 😐,83.0,26.8,24.0,84.66,0.1,34.9,257.3,24.1,,,,,6,1,0,0.7818314824680298,0.6234898018587336,64.17262268066406
2025-08-12 07:00:00+05:00,66.1745376586914,Moderate 😐,83.0,27.0,24.1,84.18,0.1,35.6,253.2,24.1,,,,,7,1,0,0.7818314824680298,0.6234898018587336,64.6539535522461
2025-08-12 08:00:00+05:00,67.5227279663086,Moderate 😐,83.0,27.1,24.3,84.69,0.0,35.6,253.5,24.1,,,,,8,1,0,0.7818314824680298,0.6234898018587336,66.1745376586914
2025-08-12 09:00:00+05:00,67.15129089355469,Moderate 😐,83.0,27.1,24.5,85.71,0.1,34.6,252.9,24.1,,,,,9,1,0,0.7818314824680298,0.6234898018587336,67.5227279663086
2025-08-12 10:00:00+05:00,67.8337631225586,Moderate 😐,83.0,27.5,24.5,83.73,0.1,34.6,252.8,24.1,,,,,10,1,0,0.7818314824680298,0.6234898018587336,67.15129089355469
2025-08-12 11:00:00+05:00,68.69740295410156,Moderate 😐,83.0,27.6,24.5,83.24,0.0,35.6,250.9,24.1,,,,,11,1,0,0.7818314824680298,0.6234898018587336,67.8337631225586
